微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KdkIO2JPF,【这是高手！#枪王25秒20发子弹199环#】“我的班长是枪王，我班长的班长也是枪王，我也一定能成为枪王。”近日，第71集团军“临汾旅”中士张志强在步枪速射比武中，25秒，20发子弹，打出了199环的成绩，成为速度与精准并存的“枪王”。日常训练他非常刻苦，枪口上竖立弹壳，挂水壶，负重练习据枪的稳定性，直到把动作练成肌肉记忆。央广军事的微博视频                                 ,,无,"http://f.video.weibocdn.com/wbxS1LVwlx07MikXYmw0010412011JBZ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1619846672&ssig=RcmOPtxAXc&KID=unistore,video",无,2021-04-30 20:28,微博视频号,18013,594,595
Kdkrq5qbe,【#东深供水工程一滴水的故事#】#香港1963年水荒严重到4天供一次水#，香港请求广东支援。在财力不足情况下，国家投入3800万元建设东深供水工程。上万名建设者，一锹一筐、肩挑背扛，开山劈岭、修堤筑坝，短短一年时间，建成全长83公里的宏大供水工程，极大缓解了香港的用水困难。人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/hTQkQi26lx07Mirlo5Vm010412018kx80E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1619846672&ssig=q8EzYh0H3h&KID=unistore,video",无,2021-04-30 19:45,微博视频号,20875,1272,1096
Kdkfs6A5r,【中共中央政治局会议：#防止以学区房等名义炒作房价#】中共中央政治局4月30日召开会议，分析研究当前经济形势和经济工作；听取第三次全国国土调查主要情况汇报；审议《中国共产党组织工作条例》。会议强调，要坚持房子是用来住的、不是用来炒的定位，增加保障性租赁住房和共有产权住房供给，防止以学区房等名义炒作房价。要坚持不懈抓好安全生产。要始终绷紧疫情防控这根弦，坚持外防输入、内防反弹，抓好疫苗接种，推进疫情国际联防联控。http://t.cn/A6cmPbjM                  原图                             ,,http://wx1.sinaimg.cn/large/0033ImPzly1gq1zhufyrzj60ob0obk0y02.jpg,无,无,2021-04-30 19:15,微博 weibo.com,2720,753,937
KdjZsnXKa,【习近平就印度新冠肺炎疫情向印度总理莫迪致慰问电】国家主席习近平4月30日就印度新冠肺炎疫情向印度总理莫迪致慰问电。习近平在慰问电中表示，我十分关切近期印度新冠肺炎疫情的态势，谨代表中国政府和中国人民，并以我个人的名义，向印度政府和人民表示诚挚的慰问。人类是休戚与共的命运共同体，世界各国唯有团结合作，才能最终战胜疫情。中方愿同印方加强抗疫合作，向印方提供支持和帮助。我相信，在印度政府领导下，印度人民一定能够战胜疫情。                  原图                             ,,http://wx2.sinaimg.cn/large/0033ImPzly1gq1yd71973j60ob0obk0y02.jpg,无,无,2021-04-30 18:36,微博 weibo.com,6763,398,874
KdjVp1QdJ,【春暖花开！#葛洲坝下江豚撒欢嬉戏#】近日，湖北宜昌葛洲坝下，直播镜头捕捉到了两头江豚缠绵嬉戏的画面。拍摄的记者表示：摄制组给两只江豚起了一个很有趣的名字，叫“江豚华尔兹”央视频的微博视频  ,,无,"http://f.video.weibocdn.com/8LDHskYflx07Mibm8RXG0104120022Vp0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1619846677&ssig=Vy5Km0E8dj&KID=unistore,video",无,2021-04-30 18:26,微博视频号,7284,616,509
KdjzQ90ku,【#故宫陶瓷馆时隔两年重新开放#】故宫陶瓷馆5月1日在武英殿重新开放。新陶瓷馆从文华殿移至武英殿，展品增至1000余件，在展示形式与古建筑融合等方面创新，展现博大精深的中国陶瓷文化魅力。展览无需单独购票，可提前10天通过http://t.cn/AiKFdBES实名预约入场，每天3000人，额满为止。想去吗？  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/0033ImPzly1gq1wfg6s1kj60sg0iz10o02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq1wfg2waaj60sg0izwmy02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq1wfg7n1oj60sg0izdo002.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq1wfgdar3j60sg0izgtn02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq1wfg75bbj60sg0hstix02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gq1wfg98maj60sg0iz0zu02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gq1wfg6ylfj60sg0izjxp02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq1wfg9af4j60sg0izah302.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1wfgduvxj60sg0izn5802.jpg",无,无,2021-04-30 17:33,微博 weibo.com,8532,676,602
Kdjk9niI5,【欢迎！#太空家族群聊迎来一名新成员#】从东方红一号到嫦娥四号、玉兔二号，从神舟一号到天问一号，再到现在的天和……中国航天“家族”群里都会聊些啥呢？戳↓↓#中国航天家族群聊图#  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/0033ImPzly1gq1v8jpjfjj60ao28htwn02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1v8jovjxj60ao1wpasd02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1v8jjd1oj60ao1nq7mz02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gq1v8jjxnej60ao22uqq902.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1v8jqvdmj60ao25c4hl02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1v8je5fbj60ao1g5tp102.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq1v8jwmubj60ao28yqqo02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1v8k4461j60ao2p5e7h02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq1v8kbjxuj60ao39pb2902.jpg",无,无,2021-04-30 16:54,微博 weibo.com,12387,605,467
Kdj2jFuEt,【赞！#中国成功发射遥感三十四号卫星#】4月30日15时27分，我国在酒泉卫星发射中心用长征四号丙运载火箭，成功将遥感三十四号卫星发射升空，卫星进入预定轨道。遥感三十四号卫星是光学遥感卫星，主要用于国土普查、城市规划、农作物估产和防灾减灾等领域。（记者余建斌）  人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/ZKavK7Owlx07MicC0I9q010412003Cve0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1619846678&ssig=o%2FFke03y4s&KID=unistore,video",无,2021-04-30 16:10,微博视频号,4382,640,523
KdiQglsTq,【外交部：#中国4月来累计向印度出口呼吸机制氧机26000余台#】外交部发言人汪文斌30日在例行记者会上介绍，据不完全统计，自4月以来，中方已累计向印方出口呼吸机和制氧机26000余台，医药材及药品近3800吨，中国相关抗疫物资和医疗设备企业正开足马力，加班加点抓紧生产，未来几天将有更多的抗疫物资源源不断发往印度，支持印度抗疫。很多这方面的捐助和采购都是通过非官方渠道进行的。（人民日报记者韩晓明）                  原图                             ,,http://wx4.sinaimg.cn/large/0033ImPzly1gq1tb47cofj61900u0h5o02.jpg,无,无,2021-04-30 15:40,微博 weibo.com,2955,210,487
KdiB7jh0s,【转存期待！#五月天象日历#来啦】①5月5-22日：银河拱桥的最佳拍摄期；②5月4日：土星合月；③5月5日：木星合月；④5月6日：宝瓶座η流星雨；⑤5月13日：金星合月；⑥5月26日：月全食，除西藏极西部、新疆极西部以外，其他地区均可见。五月天象日历↓↓你想和谁一起看？http://t.cn/A6cnupBG  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/0033ImPzly1gq1s3e47t8j60u016f4qp02.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gq1s69lz4xj61jk0gw16h02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq1s3dpey5j60fi08rtc002.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1s3dpf90j60fi098q6302.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq1s3dq5mfj60fi06un0q02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1s3dqhl6j60u00eft9r02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq1s3drxa9j60fi07wwfh02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq1s3ducrdj60fi08pgrc02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq1s3eb2z7j60u0173b2902.jpg",无,无,2021-04-30 15:03,微博 weibo.com,4262,1159,606
